timestamp,open,high,low,close,volume
1774267200000,9.375,9.475,9.332,9.427,40600.2
1774268100000,9.427,9.48,9.404,9.423,14631.7
1774269000000,9.423,9.48,9.38,9.478,15965.8
1774269900000,9.478,9.481,9.43,9.453,8102.3
1774270800000,9.453,9.492,9.428,9.447,9952.9
1774271700000,9.447,9.468,9.439,9.446,3297.7
1774272600000,9.446,9.547,9.424,9.515,18818.1
1774273500000,9.515,9.632,9.507,9.615,35237.8
1774274400000,9.615,9.749,9.615,9.709,63970.0
1774275300000,9.709,9.743,9.651,9.666,16372.8
1774276200000,9.666,9.686,9.591,9.598,19532.7
1774277100000,9.598,9.642,9.573,9.631,12809.7
1774278000000,9.631,9.672,9.615,9.636,7747.6
1774278900000,9.636,9.637,9.566,9.572,11825.0
1774279800000,9.572,9.572,9.488,9.509,30421.3
1774280700000,9.509,9.544,9.389,9.417,67652.0
1774281600000,9.417,9.458,9.406,9.454,18182.8
1774282500000,9.454,9.458,9.373,9.375,14517.6
1774283400000,9.375,9.417,9.358,9.408,8583.2
1774284300000,9.408,9.472,9.405,9.45,25538.9
1774285200000,9.45,9.488,9.444,9.465,10366.5
1774286100000,9.465,9.473,9.422,9.461,6584.0
1774287000000,9.461,9.551,9.451,9.508,30186.0
1774287900000,9.508,9.522,9.498,9.518,5737.0
1774288800000,9.518,9.539,9.44,9.453,36486.6
1774289700000,9.453,9.465,9.427,9.43,9896.7
1774290600000,9.43,9.496,9.43,9.467,4955.5
1774291500000,9.467,9.532,9.467,9.525,8960.2
1774292400000,9.525,9.568,9.503,9.512,17377.5
1774293300000,9.512,9.517,9.487,9.495,1550.0
1774294200000,9.495,9.502,9.474,9.478,4324.4
1774295100000,9.478,9.495,9.451,9.455,1927.8
1774296000000,9.455,9.502,9.443,9.492,3216.5
1774296900000,9.492,9.505,9.485,9.485,2763.5
1774297800000,9.485,9.533,9.485,9.523,2742.6
1774298700000,9.523,9.53,9.514,9.525,1695.6
1774299600000,9.525,9.54,9.525,9.526,2428.9
1774300500000,9.526,9.534,9.514,9.52,680.4
1774301400000,9.52,9.57,9.515,9.554,2987.8
1774302300000,9.554,9.57,9.543,9.556,15485.0
1774303200000,9.556,9.58,9.51,9.537,8593.1
1774304100000,9.537,9.544,9.52,9.533,2678.4
1774305000000,9.533,9.567,9.5,9.548,40353.1
1774305900000,9.548,9.563,9.538,9.551,5711.9
1774306800000,9.551,9.553,9.488,9.505,10994.8
1774307700000,9.505,9.535,9.503,9.525,4406.2
1774308600000,9.525,9.537,9.508,9.52,5699.9
1774309500000,9.52,9.564,9.512,9.561,3366.2
1774310400000,9.561,9.59,9.547,9.557,8362.9
1774311300000,9.557,9.564,9.52,9.52,8272.8
1774312200000,9.52,9.533,9.467,9.517,13878.6
1774313100000,9.517,9.556,9.517,9.529,6968.4
1774314000000,9.529,9.539,9.497,9.507,8195.3
1774314900000,9.507,9.538,9.497,9.521,2582.3
1774315800000,9.521,9.524,9.45,9.468,11161.1
1774316700000,9.468,9.502,9.451,9.501,4193.0
1774317600000,9.501,9.573,9.495,9.534,8794.9
1774318500000,9.534,9.553,9.51,9.525,3100.7
1774319400000,9.525,9.547,9.489,9.535,5736.5
1774320300000,9.535,9.546,9.501,9.51,3807.0
1774321200000,9.51,9.537,9.507,9.522,4325.3
1774322100000,9.522,9.562,9.522,9.548,8698.7
1774323000000,9.548,9.553,9.515,9.545,2931.9
1774323900000,9.545,9.592,9.538,9.568,2885.9
1774324800000,9.568,9.614,9.559,9.559,7967.5
1774325700000,9.559,9.571,9.534,9.536,2572.1
1774326600000,9.536,9.536,9.491,9.522,2010.9
1774327500000,9.522,9.534,9.51,9.514,1251.7
1774328400000,9.514,9.519,9.47,9.48,5322.1
1774329300000,9.48,9.533,9.478,9.505,9683.2
1774330200000,9.505,9.543,9.498,9.534,5621.9
1774331100000,9.534,9.55,9.52,9.524,2007.2
1774332000000,9.524,9.546,9.52,9.537,2690.5
1774332900000,9.537,9.541,9.492,9.507,2091.9
1774333800000,9.507,9.534,9.507,9.51,4247.1
1774334700000,9.51,9.543,9.505,9.54,5578.8
1774335600000,9.54,9.603,9.539,9.587,13849.9
1774336500000,9.587,9.595,9.56,9.56,6175.8
1774337400000,9.56,9.57,9.533,9.547,7791.7
1774338300000,9.547,9.611,9.534,9.598,32133.7
1774339200000,9.598,9.627,9.584,9.602,10552.4
1774340100000,9.602,9.604,9.574,9.59,2622.7
1774341000000,9.59,9.626,9.583,9.622,4996.7
1774341900000,9.622,9.624,9.568,9.584,19391.2
1774342800000,9.584,9.584,9.544,9.544,3652.8
1774343700000,9.544,9.57,9.537,9.556,8190.6
1774344600000,9.556,9.607,9.545,9.603,8311.2
1774345500000,9.603,9.603,9.577,9.592,2962.6
1774346400000,9.592,9.592,9.548,9.564,4254.4
1774347300000,9.564,9.571,9.548,9.548,3754.6
1774348200000,9.548,9.569,9.541,9.563,2063.3
1774349100000,9.563,9.563,9.543,9.558,4396.7
1774350000000,9.558,9.561,9.519,9.524,6039.7
1774350900000,9.524,9.536,9.507,9.532,2043.2
1774351800000,9.532,9.564,9.526,9.561,7899.9
1774352700000,9.561,9.565,9.525,9.545,2706.7
1774353600000,9.545,9.545,9.516,9.534,6328.1
1774354500000,9.534,9.54,9.523,9.533,2944.8
1774355400000,9.533,9.554,9.511,9.541,10347.6
1774356300000,9.541,9.557,9.537,9.544,1048.3
1774357200000,9.544,9.556,9.519,9.534,9407.5
1774358100000,9.534,9.541,9.519,9.529,2735.9
1774359000000,9.529,9.539,9.466,9.466,24748.4
1774359900000,9.466,9.489,9.42,9.452,18519.8
1774360800000,9.452,9.489,9.4,9.422,33235.1
1774361700000,9.422,9.461,9.408,9.444,7670.6
1774362600000,9.444,9.46,9.405,9.416,7674.4
1774363500000,9.416,9.486,9.382,9.457,23803.9
1774364400000,9.457,9.487,9.452,9.457,6994.7
1774365300000,9.457,9.48,9.442,9.456,11884.9
1774366200000,9.456,9.489,9.434,9.465,4042.0
1774367100000,9.465,9.47,9.436,9.436,5549.3
1774368000000,9.436,9.453,9.42,9.452,5062.9
